Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Boot,Boot,SW_SPST_B3U-1000P,50.000000,-69.500000,0.000000,top
C1,10uF,C_0402_1005Metric,59.620000,-60.700000,180.000000,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.150000,-42.350000,90.000000,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.650000,-42.350000,90.000000,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.500000,-49.850000,-90.000000,top
C5,10uF,C_0402_1005Metric,61.200000,-53.600000,0.000000,top
C6,2.2uF,C_0402_1005Metric,64.237500,-52.140000,-90.000000,top
C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.500000,-41.250000,0.000000,top
C8,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.300000,-41.200000,0.000000,top
C9,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.100000,-63.200000,-90.000000,top
C10,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.600000,-63.200000,-90.000000,top
C11,10uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.600000,-63.200000,-90.000000,top
C12,0.1uF/50V(10%),C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.250000,-68.510000,90.000000,top
C13,0.1uF,C_0402_1005Metric,68.370000,-73.120000,-90.000000,top
C14,0.1uF/50V(10%),C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.320000,-47.420000,90.000000,top
C15,47uF/50V,CP_Elec_3x5.4,73.930000,-71.320000,90.000000,top
C16,0.1uF,C_0402_1005Metric,90.420000,-73.160000,-90.000000,top
C17,47uF/50V,CP_Elec_3x5.4,96.920000,-70.240000,90.000000,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.220000,-51.525000,90.000000,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.092500,-66.220000,0.000000,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.027500,-66.220000,0.000000,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,75.132500,-66.350000,0.000000,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68.500000,-66.310000,0.000000,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,49.000000,-59.040000,-90.000000,top
J2,Conn_01x02_Pin,PinHeader_1x02_P1.00mm_Vertical,119.900000,-59.100000,-90.000000,top
J3,C-OBD-II-16M,COMTECH_C-OBD-II-16M,129.525000,-73.075000,90.000000,top
J4,Conn_01x06,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,70.550000,-77.067500,180.000000,top
J5,Conn_01x02_Pin,PinHeader_1x02_P1.00mm_Vertical,122.650000,-54.040000,0.000000,top
J6,Conn_01x06,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,92.000000,-77.067500,180.000000,top
J8,Screw_Terminal_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",102.760000,-77.422500,0.000000,top
MD1,DRV8871DDARQ1,SOIC127P600X170-9N,85.800000,-70.750000,0.000000,top
MD2,DRV8871DDARQ1,SOIC127P600X170-9N,63.782500,-70.607500,0.000000,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.500000,-46.600000,0.000000,top
R2,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.800000,-56.800000,90.000000,top
R3,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.100000,-61.775000,90.000000,top
R4,499K,R_0402_1005Metric,61.925000,-48.425000,180.000000,top
R5,160K,R_0402_1005Metric,60.900000,-49.575000,180.000000,top
R6,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.650000,-58.040000,90.000000,top
R7,1.5K,R_0402_1005Metric,69.120000,-50.965000,-90.000000,top
R8,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.800000,-59.800000,-90.000000,top
R9,32K,R_0402_1005Metric,80.860000,-72.640000,0.000000,top
R12,1.5K,R_0402_1005Metric,93.660000,-64.500000,180.000000,top
R13,1.5K,R_0402_1005Metric,86.550000,-64.460000,180.000000,top
R14,1.5K,R_0402_1005Metric,75.590000,-64.650000,180.000000,top
R15,1.5K,R_0402_1005Metric,69.030000,-64.620000,180.000000,top
R16,32K,R_0402_1005Metric,58.922500,-72.517500,0.000000,top
Reset,Reset,SW_SPST_B3U-1000P,50.000000,-48.500000,0.000000,top
U1,ESP32-S3-WROOM-1U-N16R8,XCVR_ESP32-S3-WROOM-1U-N16R8,84.900000,-50.500000,0.000000,top
U2,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,105.400000,-54.900000,180.000000,top
U3,USBLC6-2P6,SOT-666,59.900000,-58.800000,0.000000,top
U4,TLV76701DRVx,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,61.400000,-51.600000,-90.000000,top
U5,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,116.650000,-54.400000,0.000000,top
Y1,8Mhz,Crystal_SMD_HC49-SD,105.350000,-45.050000,0.000000,top
